INFO: 12-01 10:28:43: main.py:102 * 140735301447680 Thread 1, CURRENT TIME: 1480559323.11
INFO: 12-01 10:28:43: main.py:102 * 140735301447680 Thread 2, CURRENT TIME: 1480559323.11
INFO: 12-01 10:28:43: main.py:102 * 140735301447680 Thread 0, CURRENT TIME: 1480559323.11
INFO: 12-01 10:28:45: main.py:102 * 140735301447680 Thread 0, CURRENT TIME: 1480559325.11
INFO: 12-01 10:28:45: main.py:102 * 140735301447680 Thread 2, CURRENT TIME: 1480559325.11
INFO: 12-01 10:28:45: main.py:102 * 140735301447680 Thread 1, CURRENT TIME: 1480559325.11
INFO: 12-01 10:28:47: main.py:102 * 140735301447680 Thread 2, CURRENT TIME: 1480559327.11
INFO: 12-01 10:28:47: main.py:102 * 140735301447680 Thread 1, CURRENT TIME: 1480559327.11
INFO: 12-01 10:28:47: main.py:102 * 140735301447680 Thread 0, CURRENT TIME: 1480559327.11
INFO: 12-01 10:28:49: main.py:102 * 140735301447680 Thread 1, CURRENT TIME: 1480559329.12
INFO: 12-01 10:28:49: main.py:102 * 140735301447680 Thread 2, CURRENT TIME: 1480559329.12
INFO: 12-01 10:28:49: main.py:102 * 140735301447680 Thread 0, CURRENT TIME: 1480559329.12
